Longitude,Latitude,YearNum,Year,Season,Type,AreaHa,PerimeterM,StartDate,EndDate,FireNo,FireName,Shape__Area,Shape__Length
153.19556408439377,-30.073073164212648,2010,2010,2010-11,Prescribed Burn,1.78099906,678.92100759,2010/08/22 00:00:00+00,1970/01/01 00:00:00+00,HR10021042523,Garby Wetline Burn,17830.515625,679.312445157274
152.16463469141377,-30.780538143628114,2010,2010,2010-11,Prescribed Burn,186.53385609,12906.152935,2010/09/01 00:00:00+00,2010/09/04 00:00:00+00,HR10030442809,ARM - Flaggy Rock SFAZ,1865253.54296875,12905.8484705652
152.19640623400713,-29.93133611553772,2010,2010,2010-11,Prescribed Burn,310.36032428,22023.3459425,2010/06/30 00:00:00+00,2010/06/30 00:00:00+00,HR10032343087, ,3108036.73828125,22039.0475485745
152.31565049651607,-29.711961839431332,2010,2010,2010-11,Prescribed Burn,907.88326634,18432.2042574,2010/08/31 00:00:00+00,2010/09/04 00:00:00+00,HR10072045073, ,9095888.70703125,18449.5149881035
152.36600160972208,-29.72869916625245,2010,2010,2010-11,Prescribed Burn,362.36415677,23256.3762944,2010/08/18 00:00:00+00,2010/09/10 00:00:00+00,HR09031636193, ,3630320.97265625,23277.8639243127
152.29962246896716,-29.643487303083557,2010,2010,2010-11,Prescribed Burn,274.33126697,15963.7757242,2010/09/01 00:00:00+00,2010/09/10 00:00:00+00,HR10032343092, ,2748867.72265625,15979.910656112
152.20944881945107,-30.997406901410784,2010,2010,2010-11,Prescribed Burn,14.37268085,2092.96807072,2010/09/08 00:00:00+00,2010/09/10 00:00:00+00,HR10073045327,WCH - Middle Yards APZ SFAZ,143675.98828125,2092.59820756094
152.1792196140967,-30.913630216037344,2010,2010,2010-11,Prescribed Burn,6.52249301,1021.71486289,2010/09/07 00:00:00+00,2010/09/10 00:00:00+00,HR09031836272,ARM - Left Hand Hut OWRNP 2009,65209.40234375,1021.59331514588
152.04021273310968,-31.068564114804914,2010,2010,2010-11,Prescribed Burn,714.79099553,31480.8686957,2010/09/01 00:00:00+00,2010/09/04 00:00:00+00,HR09061238826,WCH - Yarrowitch River OWRNP SFAZ,7144704.671875,31473.7069958861
152.0325237907313,-30.912721678787303,2010,2010,2010-11,Prescribed Burn,285.49708835,26745.3121776,2010/09/07 00:00:00+00,2010/09/10 00:00:00+00,HR09072939464,WCH - Daleys Creek SFAZ  2009,2854295.28515625,26742.1397917354
