Rank,Name,Type,AreaHa,Longitude,Latitude,StartDate,EndDate,EventKey
1,Green Wattle Creek,Wildfire,833642.1024079,150.22599626315483,-34.1027183118897,2019/11/26 00:00:00+00,2020/02/09 00:00:00+00,19112760264
2,Gospers Mountain,Wildfire,512345.67867081,150.52022498004553,-33.204266579023106,2019/10/25 00:00:00+00,2020/02/09 00:00:00+00,19102652934
3,Carrai Creek,Wildfire,478066.72454416996,152.11647960445958,-30.94441362403032,2019/10/16 00:00:00+00,2020/01/14 00:00:00+00,19101751816
4,Dunns Road,Wildfire,334038.58327202,148.1813410990234,-35.66389132453022,2019/12/27 00:00:00+00,1969/12/31 00:00:00+00,19122867024
5,"Badja Forest Rd, Countegany",Wildfire,288217.296874,149.77827714750853,-36.19459311518438,2019/12/12 00:00:00+00,2020/03/04 00:00:00+00,19122766937
6,"Green Valley, Talmalmo",Wildfire,208704.2582636,147.79636389413076,-36.072272556467794,2019/12/28 00:00:00+00,2020/02/18 00:00:00+00,19122967335
7,Border Fire,Wildfire,196531.789285,149.686038089732,-37.21657844818842,2019/12/30 00:00:00+00,2020/03/03 00:00:00+00,19123168771
8,Kerry Ridge,Wildfire,191445.191799,150.43948330259695,-32.705084964331824,2019/11/22 00:00:00+00,2020/02/09 00:00:00+00,19112359453
9,Liberation Trail,Wildfire,182772.51217476,152.6389183880819,-29.98570303500203,2019/11/03 00:00:00+00,2019/12/23 00:00:00+00,19110454354
10,Little L Complex,Wildfire,171280.53097223,150.87050680383237,-32.86149851882531,2019/11/24 00:00:00+00,2020/01/23 00:00:00+00,19112559831
